name,observable,target,sigma,mass_msun,distance_m,echo_mass_msun,source
EHT_M87_ring,ring_uas,42.0,3.0,6500000000.0,5.182e23,,EHT 2019 ApJL 875 L1
EHT_SgrA_ring,ring_uas,51.8,2.3,4297000.0,2.554e20,,EHT 2022 ApJL 930 L12/L15
